date,state,city_or_county,address,latitude,longitude,congressional_district,state_house_district,state_senate_district,participant_age1,participant_age_group1,participant_gender1,min_age_participants,avg_age_participants,max_age_participants,n_participants_child,n_participants_teen,n_participants_adult,n_males,n_females,n_killed,n_injured,n_arrested,n_unharmed,n_participants,notes,incident_characteristics1,incident_characteristics2,povertyPercentage,party,candidatevotes,totalvotes,year,city
2016-12-21,Missouri,Kansas City (Raytown),6500 block of Raytown Road,38.9647,-94.4654,5.0,29.0,9.0,29.0,Adult 18+,Male,29.0,29.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Suspect fired shots at another man; no shots fired during standoff with police.,Shots Fired - No Injuries,Officer Involved Incident,11.9,DEMOCRAT,190766.0,324270.0,2016,
2017-02-08,Rhode Island,North Scituate (Scituate),,41.8406,-71.6199,2.0,41.0,21.0,29.0,Adult 18+,Male,29.0,44.0,59.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,,Non-Shooting Incident,Drug involvement,9.8,,,,2017,
2014-08-13,Connecticut,Windsor Locks,Schoephoester Road,41.9264,-72.6829,1.0,60.0,7.0,51.0,Adult 18+,Male,51.0,51.0,51.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,TSA Action,Possession (gun(s) found during commission of other crimes),9.2,DEMOCRAT,127430.0,217881.0,2014,
2014-06-06,Maine,Howland,Water Street,45.2536,-68.668,2.0,12.0,30.0,36.0,Adult 18+,Female,36.0,36.0,36.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,"intoxicated perp claimed to taken pills threatened gf with BB gun, ofc shot when perp refused to drop weapon",Shot - Wounded/Injured,Officer Involved Incident,13.2,REPUBLICAN,133320.0,295009.0,2014,
2016-10-26,Louisiana,Houma (Bayou Blue),207 Capri Court,29.6691,-90.7261,6.0,52.0,21.0,17.0,Teen 12-17,Male,17.0,26.0,34.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,"1 killed, 2 inj.",,,19.8,REPUBLICAN,207483.0,331098.0,2016,
2017-05-20,Missouri,Saint Louis,1400 block of Peabody Ct,38.6172,-90.2068,1.0,78.0,5.0,30.0,Adult 18+,Male,30.0,30.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,"38.617234, -90.206845",Shot - Wounded/Injured,,11.0,,,,2017,Saint Louis
2016-02-19,Maine,Scarborough,Interstate 95,44.7089,-69.4513,2.0,29.0,25.0,22.0,Adult 18+,Male,22.0,22.0,22.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"traffic stop, drugs, AK47, 410 shotgun",Non-Shooting Incident,Drug involvement,12.6,REPUBLICAN,192878.0,364886.0,2016,
2015-06-23,Illinois,East Saint Louis (Cahokia),,38.6297,-90.1383,12.0,114.0,57.0,27.0,Adult 18+,Male,27.0,27.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Man paralyzed after shooting outside his home;,Shot - Wounded/Injured,,11.3,,,,2015,
2017-06-09,Massachusetts,Seekonk,821 Fall River Ave,41.8042,-71.3321,4.0,,,23.0,Adult 18+,Male,23.0,23.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,in car with stolen revolver,Non-Shooting Incident,ATF/LE Confiscation/Raid/Arrest,9.2,,,,2017,
2016-02-17,Ohio,Cincinnati (Cheviot),3300 block of Harrison Avenue,39.1555,-84.6045,1.0,30.0,8.0,37.0,Adult 18+,Male,37.0,37.0,37.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,"Man w/ gun; shot, killed after pointing Airsoft pistol at police; officers are Scott McManis, Zachary Sterbling and Eric Kohler.","Shot - Dead (murder, accidental, suicide)",Officer Involved Incident,12.8,REPUBLICAN,210014.0,354788.0,2016,
2014-08-14,West Virginia,Kanawha City,5003 MacCorkle Avenue,38.319,-81.5777,2.0,36.0,17.0,44.0,Adult 18+,Female,17.0,23.0,44.0,0.0,1.0,5.0,3.0,3.0,0.0,1.0,5.0,0.0,6.0,Foodland,Shot - Wounded/Injured,Armed robbery with injury/death and/or evidence of DGU found,17.7,REPUBLICAN,72619.0,154250.0,2014,Charleston
2016-06-14,Michigan,Geneva Township,Phoenix St and 60th Ave,42.4056,-86.1295,6.0,66.0,26.0,41.0,Adult 18+,Male,41.0,41.0,41.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Perp and police fire back and forth at each other.,Shots Fired - No Injuries,Officer Involved Incident,11.0,REPUBLICAN,193259.0,329565.0,2016,
2017-02-27,Ohio,Dayton (Trotwood),5500 block of Autumn Wood Dr,39.8264,-84.2973,10.0,43.0,5.0,23.0,Adult 18+,Male,23.0,23.0,23.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,"Man shot, killed, at apartment, suspect in custody; victim's 9 y/o son wounded later same day;
39.826442, -84.297303","Shot - Dead (murder, accidental, suicide)",,12.4,,,,2017,
2014-04-21,Florida,Manatee,,27.4799,-82.3452,16.0,73.0,26.0,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,shot in hand during robbery,Shot - Wounded/Injured,,15.2,REPUBLICAN,169126.0,274829.0,2014,
2015-03-05,Florida,Saint Petersburg,335 Seventh Ave. N,27.7795,-82.6376,14.0,68.0,22.0,32.0,Adult 18+,Female,7.0,20.0,32.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,Woman holding a shotgun forces her 7 year old to jump out the window,Attempted Murder/Suicide (one variable unsuccessful),Non-Shooting Incident,14.3,,,,2015,Saint Petersburg
2017-07-09,New York,Buffalo (Cheektowaga),,42.8964,-78.8833,26.0,149.0,63.0,24.0,Adult 18+,Male,24.0,24.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"Pulled over for speeding, marijuana and guns found in car",Non-Shooting Incident,Drug involvement,12.1,,,,2017,Buffalo
2015-10-21,Utah,Salt Lake City (West Valley City),Decker Lake Drive and I-215,40.7046,-111.949,4.0,31.0,1.0,31.0,Adult 18+,Male,31.0,32.0,33.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,Perps driving onto interstate fired at officers who were responding to a call at the hotel in attempt to create a diversion. No inj.,Shots Fired - No Injuries,Officer Involved Incident,8.8,,,,2015,West Valley City
2017-09-17,Minnesota,Saint Paul,,44.9488,-93.0907,4.0,,65.0,37.0,Adult 18+,Male,37.0,37.0,37.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,Shots Fired - No Injuries,Domestic Violence,7.4,,,,2017,Saint Paul
2016-02-27,California,Mc Farland,,35.6769,-119.231,21.0,32.0,14.0,28.0,Adult 18+,Male,6.0,17.0,28.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,Shot - Wounded/Injured,"Drive-by (car to street, car to car)",12.5,REPUBLICAN,75126.0,132408.0,2016,City of McFarland
2017-12-18,Maine,West Newfield,28 Coolidge Rd,43.6432,-70.8922,1.0,21.0,33.0,29.0,Adult 18+,Male,29.0,32.0,34.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,,Shot - Wounded/Injured,Domestic Violence,11.5,,,,2017,
2014-07-02,Maryland,Colora,Liddell Road,39.6682,-76.087,1.0,,35.0,23.0,Adult 18+,Male,23.0,23.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1mv,Shot - Wounded/Injured,,8.9,REPUBLICAN,176342.0,250418.0,2014,
2016-06-20,Texas,Mckinney,2800 block of High Pointe Boulevard,33.2287,-96.6446,3.0,70.0,8.0,49.0,Adult 18+,Female,49.0,49.0,50.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,2 killed. Man kills estranged wife and her sister. Domestic violence.,Domestic Violence,,13.7,REPUBLICAN,193684.0,316467.0,2016,McKinney
2016-11-14,South Carolina,Johns Island,3600-block of Maybank Highway,32.7174,-80.0863,1.0,116.0,45.0,33.0,Adult 18+,Female,27.0,30.0,33.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,,Shots Fired - No Injuries,"Drive-by (car to street, car to car)",14.1,REPUBLICAN,190410.0,325170.0,2016,Charleston
2014-11-22,New York,Greece,Lambert Drive,43.2321,-77.6452,25.0,134.0,56.0,,Adult 18+,,,,,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,1.0,rifle & ammo stolen from vehicle while owner packing for hunting trip,Gun(s) stolen from owner,,13.4,DEMOCRAT,87264.0,196516.0,2014,City of Rochester
2014-09-13,Florida,Islamorada,,24.9207,-80.6327,26.0,120.0,39.0,30.0,Adult 18+,Male,30.0,30.0,30.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,,Shots Fired - No Injuries,,15.2,REPUBLICAN,83031.0,161337.0,2014,
2014-02-25,Illinois,O Fallon,1562 Frontage Rd,38.5984,-89.959,12.0,112.0,56.0,52.0,Adult 18+,Male,52.0,52.0,52.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,"Ron and Jo’s Firearms and Sporting Supplies - Woman buys gun for felon while high.;
38.598448, -89.958960",Institution/Group/Business,Non-Shooting Incident,12.2,REPUBLICAN,110038.0,209738.0,2014,
2017-03-23,Michigan,Muskegon (Muskegon Heights),3300 block of Hoyt St,43.216,-86.2394,2.0,92.0,34.0,29.0,Adult 18+,Male,29.0,29.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"Brandishing. Suspect shot same man at whom he brandished a handgun on Jan. 21, 2013 in Muskegon Heights, MI at 8th St. and Summit Ave.",Brandishing/flourishing/open carry/lost/found,,10.7,,,,2017,
